document_id	author	title	annotated	exclude	keep_fine_tuning	publication_date	document_length	link	link_OCR	notes
bpt6k8569793	Romain, Nicolas	Maurice tragoedie. Dediée à tres-haut, & tres-genereux prince monseigneur de Vaudemont François de Lorraine. Par Nicolas Romain docteur és droicts, conseiller de mondict seigneur, capitaine, prevost, & gruyer du Pont-à-Mousson	TRUE	FALSE	FALSE	1606	145985	http://catalogue.bnf.fr/ark:/12148/cb38769005t	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k8569793.txt	
bpt6k1090060x	Millet, Jean	Pastorale et tragi-comedie de Janin	TRUE	FALSE	FALSE	1692	141687	http://catalogue.bnf.fr/ark:/12148/cb44729496s	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090060x.txt	
bpt6k1090048g	Puget de La Serre, Jean	Le Pyrame, tragédie en prose	TRUE	FALSE	FALSE	1633	73267	http://catalogue.bnf.fr/ark:/12148/cb447294854	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090048g.txt	
bpt6k1090139v		La Cocue imaginaire, comedie	TRUE	FALSE	FALSE	1662	42313	http://catalogue.bnf.fr/ark:/12148/cb44729574r	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090139v.txt	
bpt6k1526239b	Molière	Le grand divertissement royal de Versailles	TRUE	TRUE	FALSE	1668	11922	http://catalogue.bnf.fr/ark:/12148/cb30958657h	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1526239b.txt	
bpt6k1090230g	Rosimond, Claude Rose	Les Qui pro quo, ou le Valet etourdy, comédie	TRUE	FALSE	FALSE	1673	57297	http://catalogue.bnf.fr/ark:/12148/cb447296652	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090230g.txt	
bpt6k5828916x	Rotrou, Jean de	L'hypocondriaque, ou Le mort amoureux , tragi-comédie.Dédiée a monseigneur le comte de Soissons. Par le Sr Rotrou.	TRUE	FALSE	FALSE	1631	115455	http://catalogue.bnf.fr/ark:/12148/cb312518966	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5828916x.txt	
bpt6k1519300g	Chevalier, Jean	Les Galans ridicules ou les Amours de Guillot et de Ragotin, comédie...	TRUE	FALSE	FALSE	1662	24573	http://catalogue.bnf.fr/ark:/12148/cb393251330	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1519300g.txt	
bpt6k15107128	Racine, Jean	Athalie , tragédie tirée de l'Écriture sainte [de J. Racine]	TRUE	FALSE	FALSE	1691	97370	http://catalogue.bnf.fr/ark:/12148/cb31169029t	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k15107128.txt	
btv1b8610783h	Molière	L'avare , comédie par J.-B. P. Molière	TRUE	FALSE	FALSE	1669	120477	http://catalogue.bnf.fr/ark:/12148/cb309583988	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b8610783h.txt	
bpt6k853059s	Baussays	La Cydippe de Monsieur le Chevalier de Baussays, pastorale	TRUE	FALSE	FALSE	1632	104287	http://catalogue.bnf.fr/ark:/12148/cb38652182g	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k853059s.txt	
bpt6k852855g	Passerat, François	L'heureux accident ou la maison de campagne, comédie / par M. Passerat	TRUE	FALSE	FALSE	1695	55373	http://catalogue.bnf.fr/ark:/12148/cb38767264d	https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k852855g.txt	
bpt6k5455471b	Chappuzeau de Baugé, Daniel-Paul	Coronis , pastorale héroïque, représentée par l'Académie royale de musique, le 23e mars 1691	TRUE	FALSE	FALSE	1691	26306		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5455471b.txt	
bpt6k57899298	Rotrou, Jean de	Crisante tragedie de Mr de Rotrou	TRUE	FALSE	FALSE	1640	75768		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k57899298.txt	
bpt6k57346959	Perrin, Pierre	Première comédie française en musique, représentée en France . Pastorale mise en musique par M. Camber...	TRUE	FALSE	FALSE	1659	14124		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k57346959.txt	
bpt6k1280564h	Molière	Psiché, tragédie ballet, par J.-B. P. Molière (P. Corneille et Quinault)	FALSE	FALSE	FALSE	1673	95497		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1280564h.txt	
btv1b86107875	Molière	L'Escole des maris, comedie, de J. B. P. Moliere. Representée sur le theatre du Palais Royal.	TRUE	FALSE	FALSE	1661	64618		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/btv1b86107875.txt	
bpt6k62514727	Villiers, Claude Deschamps	Les ramonneurs. Comédie . Comédie. Par Mr de Villiers. Représentée sur le Théâtre royal de l'Hostel de Bourgogne	TRUE	FALSE	FALSE	1662	63178		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k62514727.txt	
bpt6k12804415	Molière	La Critique de l'Escole des femmes, comedie. Par I. B. P. Moliere	TRUE	FALSE	FALSE	1663	49436		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k12804415.txt	
bpt6k8528543	La Motte, de.	Le Grand Magus, Tragi-Comédie	TRUE	FALSE	FALSE	1656	92787		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k8528543.txt	
bpt6k5772699f	Charenton, De	La mort de Baltazar, roy de Babilone , tragédie. Par le sieur de Charenton	TRUE	FALSE	TRUE	1662	82484		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5772699f.txt	
bpt6k1090242p		Tite et Titus, ou Critique sur les Berenices, comédie	TRUE	FALSE	TRUE	1673	58275		https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090242p.txt	
