author	title	publication_date	link	path	filename	document_id	entity_linking
La Motte, Antoine de	Amadis de Grèce, tragédie [par A. Houdar de La Motte], représentée par l'Académie royale de musique	1699	http://catalogue.bnf.fr/ark:/12148/cb30729994t	../TheatreLFSV2-downloaded/NER/bpt6k1512077t.tar.gz.tei_segmented_ner.xml	bpt6k1512077t.tar.gz.tei_segmented_ner.xml	bpt6k1512077t	spacy_entity_fishing
Corneille, Pierre	Le Cid . Tragi-comédie	1644	http://catalogue.bnf.fr/ark:/12148/cb30271457g	../TheatreLFSV2-downloaded/NER/bpt6k5738753j.tar.gz.tei_segmented_ner.xml	bpt6k5738753j.tar.gz.tei_segmented_ner.xml	bpt6k5738753j	spacy_entity_fishing
Chillac, Timothée de	La Mort du Cid, et l'Ombre du comte de Gormas, tragi-comédie	1696	http://catalogue.bnf.fr/ark:/12148/cb447295366	../TheatreLFSV2-downloaded/NER/bpt6k1090099s.tar.gz.tei_segmented_ner.xml	bpt6k1090099s.tar.gz.tei_segmented_ner.xml	bpt6k1090099s	spacy_entity_fishing
	Tragi-comédie très-célèbre des inimitables amours du seigneur Alexandre et d'Annette, où l'on voit les envieuses traverses qui contrarient les Amants et le juste loyer de leur fidélité	1619	http://catalogue.bnf.fr/ark:/12148/cb33628263m	../TheatreLFSV2-downloaded/NER/bpt6k8570574.tar.gz.tei_segmented_ner.xml	bpt6k8570574.tar.gz.tei_segmented_ner.xml	bpt6k8570574	spacy_entity_fishing
Villiers, Claude Deschamps	L'Apoticaire dévalisé, comédie burlesque ; suivi de Portrait d'une inconnue	1660	http://catalogue.bnf.fr/ark:/12148/cb44729528k	../TheatreLFSV2-downloaded/NER/bpt6k1090091g.tar.gz.tei_segmented_ner.xml	bpt6k1090091g.tar.gz.tei_segmented_ner.xml	bpt6k1090091g	spacy_entity_fishing
Ferrier de La Martinière, Louis	Adraste, tragédie	1680	http://catalogue.bnf.fr/ark:/12148/cb44729529x	../TheatreLFSV2-downloaded/NER/bpt6k1090092w.tar.gz.tei_segmented_ner.xml	bpt6k1090092w.tar.gz.tei_segmented_ner.xml	bpt6k1090092w	spacy_entity_fishing
	Le theatre françois . Contenant : Le trebuchement de Phaëton ; La mort de Roger ; La mort de Bradamante ; Andromède delivrée ; Le foudroiement d'Athamas et La folie de Silene	1624	http://catalogue.bnf.fr/ark:/12148/cb336248410	../TheatreLFSV2-downloaded/NER/bpt6k6257840h.tar.gz.tei_segmented_ner.xml	bpt6k6257840h.tar.gz.tei_segmented_ner.xml	bpt6k6257840h	spacy_entity_fishing
Urfé, Honoré d'	La Sylvanire, ou la Morte-vive, fable bocagère de messire Honoré d'Urfé,...	1627	http://catalogue.bnf.fr/ark:/12148/cb31513567z	../TheatreLFSV2-downloaded/NER/btv1b8606999n.tar.gz.tei_segmented_ner.xml	btv1b8606999n.tar.gz.tei_segmented_ner.xml	btv1b8606999n	spacy_entity_fishing
Molière	Les fragmens de Molière , comédie	1682	http://catalogue.bnf.fr/ark:/12148/cb30958534k	../TheatreLFSV2-downloaded/NER/bpt6k5754475d.tar.gz.tei_segmented_ner.xml	bpt6k5754475d.tar.gz.tei_segmented_ner.xml	bpt6k5754475d	spacy_entity_fishing
Donneau de Vizé, Jean	La Comète, comédie	1681	http://catalogue.bnf.fr/ark:/12148/cb44729544t	../TheatreLFSV2-downloaded/NER/bpt6k1090109q.tar.gz.tei_segmented_ner.xml	bpt6k1090109q.tar.gz.tei_segmented_ner.xml	bpt6k1090109q	spacy_entity_fishing
Tristan L'Hermite	La mort de Chrispe, ou Les malheurs domestiques du grand Constantin . Par le Sr Tristan L'Hermite	1645	http://catalogue.bnf.fr/ark:/12148/cb31497258m	../TheatreLFSV2-downloaded/NER/bpt6k5789987q.tar.gz.tei_segmented_ner.xml	bpt6k5789987q.tar.gz.tei_segmented_ner.xml	bpt6k5789987q	spacy_entity_fishing
Boisrobert, François de	Théodore, Reyne de Hongrie, tragi-comédie	1658	http://catalogue.bnf.fr/ark:/12148/cb44729598r	../TheatreLFSV2-downloaded/NER/bpt6k10901623.tar.gz.tei_segmented_ner.xml	bpt6k10901623.tar.gz.tei_segmented_ner.xml	bpt6k10901623	spacy_entity_fishing
Boyer, Claude	Policrate, comedie heroyque	1670	http://catalogue.bnf.fr/ark:/12148/cb447296908	../TheatreLFSV2-downloaded/NER/bpt6k10902574.tar.gz.tei_segmented_ner.xml	bpt6k10902574.tar.gz.tei_segmented_ner.xml	bpt6k10902574	spacy_entity_fishing
Saint Yon, Monsieur de	Les bourgeoises à la mode , comédie, de M. Dancourt	1693	http://catalogue.bnf.fr/ark:/12148/cb31285669b	../TheatreLFSV2-downloaded/NER/bpt6k5752627d.tar.gz.tei_segmented_ner.xml	bpt6k5752627d.tar.gz.tei_segmented_ner.xml	bpt6k5752627d	spacy_entity_fishing
Scudéry, Georges de	L'Amour tirannique, tragédie-comédie, par M. de Scudéry	1639	http://catalogue.bnf.fr/ark:/12148/cb31341723p	../TheatreLFSV2-downloaded/NER/btv1b8607044w.tar.gz.tei_segmented_ner.xml	btv1b8607044w.tar.gz.tei_segmented_ner.xml	btv1b8607044w	spacy_entity_fishing
Hardy, Alexandre	Le théâtre d'Alexandre Hardy,.... Volume 2	1626	http://catalogue.bnf.fr/ark:/12148/cb30576169c	../TheatreLFSV2-downloaded/NER/bpt6k15100368.tar.gz.tei_segmented_ner.xml	bpt6k15100368.tar.gz.tei_segmented_ner.xml	bpt6k15100368	spacy_entity_fishing
