author,title,publication_date,link,document_id,document_length,link_OCR
"Tasse, Le","L'Aminte,... pastorale fidellement traduite de l'italien en vers françois [par Vion Dalibray]...",1632,http://catalogue.bnf.fr/ark:/12148/cb386931591,bpt6k12801807,121664,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k12801807.txt
"Rotrou, Jean de","Les Ménechmes, comédie",1661,http://catalogue.bnf.fr/ark:/12148/cb44729606j,bpt6k1090170n,85299,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090170n.txt
"Boyer, Claude","Le Fils supposé, tragédie",1672,http://catalogue.bnf.fr/ark:/12148/cb447295664,bpt6k1090131j,88264,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090131j.txt
"Mareschal, André",Le Dictateur romain : tragédie dédiée à Mgr le duc d'Espernon / [A. Mareschal],1647,http://catalogue.bnf.fr/ark:/12148/cb35285434p,bpt6k63412802,86912,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k63412802.txt
"Rayssiguier, De",Alidor et Oronte. Tragi-comedie du sieur de R.,1636,http://catalogue.bnf.fr/ark:/12148/cb38768451v,bpt6k1513096g,75453,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1513096g.txt
"Regnard, Jean-François",Attendez-moy sous l'orme . Comedie,1694,http://catalogue.bnf.fr/ark:/12148/cb35944667b,bpt6k61486960,32550,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k61486960.txt
,"Dialogue du cardinal de Richelieu voulant entrer en Paradis, et sa descente aux enfers . Tragi-comédie",1643,http://catalogue.bnf.fr/ark:/12148/cb333458801,bpt6k5651559g,16812,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k5651559g.txt
"Rotrou, Jean de","Les Sosies, comédie",1668,http://catalogue.bnf.fr/ark:/12148/cb44729591b,bpt6k1090155z,91197,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090155z.txt
"Félibien, André",Relation de la feste de Versailles. Du dix-huitiéme juillet mil six cens soixante-huit / [par A. Félibien],1668,http://catalogue.bnf.fr/ark:/12148/cb33579002z,bpt6k1526235p,61717,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1526235p.txt
"Prévost, Jean","Les Secondes Œuvres poetiques et tragiques de Jeahn Prevost [...], Imprimees nouvelement",1613,http://catalogue.bnf.fr/ark:/12148/cb447297044,bpt6k1090271d,207358,https://github.com/TextEnt/chrono-spatial-processing/blob/main/data/corpus_normalized/bpt6k1090271d.txt
